iter	Passed	Remaining
478	617	671
479	618	669
480	618	667
481	619	666
482	620	664
483	621	662
484	622	661
485	623	659
486	624	658
487	625	656
488	626	654
489	627	652
490	628	651
491	629	649
492	630	648
493	631	646
494	632	644
495	632	643
496	633	641
497	635	640
498	636	638
499	637	637
500	638	636
501	639	634
502	640	633
503	642	631
504	643	630
505	644	629
506	645	627
507	646	625
508	646	624
509	647	622
510	648	620
511	649	618
512	650	617
513	651	615
514	652	614
515	653	612
516	654	611
517	655	609
518	656	608
519	657	606
520	658	604
521	658	603
522	659	601
523	660	600
524	661	598
525	662	597
526	664	596
527	664	594
528	665	592
529	666	591
530	667	589
531	668	588
532	669	586
533	670	585
534	671	583
535	672	582
536	673	581
537	674	579
538	675	578
539	676	576
540	677	574
541	678	573
542	679	571
543	680	570
544	680	568
545	682	567
546	683	565
547	684	564
548	685	563
549	686	561
550	687	560
551	688	558
552	689	557
553	690	555
554	691	554
555	691	552
556	692	550
557	693	549
558	694	547
559	695	546
560	696	544
561	696	543
562	698	541
563	698	540
564	699	538
565	700	537
566	701	535
567	702	534
568	702	532
569	703	530
570	705	529
571	706	528
572	707	526
573	708	525
574	708	523
575	709	522
576	710	520
577	711	519
578	712	517
579	713	516
580	714	515
581	715	513
582	716	512
583	717	510
584	718	509
585	719	508
586	720	506
587	720	505
588	721	503
589	722	502
590	723	500
591	724	499
592	724	497
593	725	496
594	726	494
595	727	493
596	728	491
597	729	490
598	730	488
599	731	487
600	732	486
601	733	484
602	733	483
603	734	481
604	735	480
605	736	479
606	737	477
607	738	476
608	739	474
609	740	473
610	741	471
611	742	470
612	743	469
613	744	467
614	745	466
615	746	465
616	747	464
617	748	462
618	749	461
619	751	460
620	752	459
621	753	457
622	753	456
623	754	454
624	755	453
625	756	451
626	757	450
627	758	449
628	759	447
629	760	446
630	761	445
631	762	444
632	763	442
633	764	441
634	765	439
635	766	438
636	767	437
637	767	435
638	768	434
639	769	432
640	770	431
641	771	430
642	772	428
643	773	427
644	774	426
645	775	424
646	775	423
647	776	422
648	777	420
649	778	419
650	779	417
651	780	416
652	781	415
653	782	413
654	783	412
655	784	411
656	785	409
657	785	408
658	786	407
659	787	405
660	788	404
661	789	403
662	790	401
663	791	400
664	792	399
665	793	397
666	794	396
667	795	395
668	796	393
669	796	392
670	797	391
671	798	389
672	799	388
673	800	387
674	801	385
675	801	384
676	802	383
677	803	381
678	804	380
679	805	379
680	806	377
681	807	376
682	808	375
683	808	373
684	809	372
685	810	371
686	811	369
687	812	368
688	813	367
689	814	365
690	815	364
691	816	363
692	817	362
693	818	360
694	819	359
695	819	358
696	820	356
697	821	355
698	822	354
699	823	352
700	824	351
701	825	350
702	826	349
703	827	347
704	827	346
705	828	345
706	829	343
707	830	342
708	831	341
709	832	339
710	833	338
711	834	337
712	835	336
713	836	335
714	837	333
715	838	332
716	839	331
717	840	330
718	841	328
719	842	327
720	843	326
721	844	325
722	845	323
723	846	322
724	847	321
725	848	320
726	849	318
727	849	317
728	850	316
729	851	314
730	852	313
731	853	312
732	854	311
733	854	309
734	855	308
735	856	307
736	857	306
737	858	304
738	859	303
739	860	302
740	861	301
741	862	299
742	863	298
743	864	297
744	865	296
745	866	294
746	867	293
747	868	292
748	869	291
749	870	290
750	871	288
751	871	287
752	872	286
753	873	284
754	874	283
755	875	282
756	875	281
757	876	279
758	877	278
759	878	277
760	879	276
761	880	274
762	881	273
763	881	272
764	882	271
765	883	269
766	884	268
767	885	267
768	885	266
769	886	264
770	887	263
771	888	262
772	889	261
773	890	260
774	891	258
775	892	257
776	893	256
777	894	255
778	895	253
779	895	252
780	896	251
781	897	250
782	898	249
783	899	247
784	900	246
785	901	245
786	902	244
787	903	243
788	904	241
789	905	240
790	906	239
791	906	238
792	907	236
793	908	235
794	909	234
795	910	233
796	911	232
797	912	230
798	913	229
799	914	228
800	915	227
801	916	226
802	917	224
803	917	223
804	918	222
805	919	221
806	920	220
807	921	218
808	921	217
809	922	216
810	923	215
811	924	214
812	925	212
813	926	211
814	927	210
815	928	209
816	929	208
817	930	207
818	931	205
819	932	204
820	933	203
821	934	202
822	935	201
823	936	199
824	936	198
825	937	197
826	938	196
827	939	195
828	940	194
829	942	192
830	943	191
831	944	190
832	945	189
833	946	188
834	947	187
835	947	185
836	948	184
837	949	183
838	950	182
839	951	181
840	952	180
841	953	178
842	953	177
843	954	176
844	955	175
845	956	174
846	957	172
847	958	171
848	959	170
849	959	169
850	960	168
851	961	167
852	962	165
853	963	164
854	964	163
855	965	162
856	966	161
857	967	160
858	967	158
859	968	157
860	969	156
861	970	155
862	971	154
863	972	153
864	973	151
865	974	150
866	975	149
867	976	148
868	977	147
869	978	146
870	978	144
871	979	143
872	980	142
873	981	141
874	982	140
875	983	139
876	984	138
877	985	136
878	985	135
879	987	134
880	988	133
881	989	132
882	990	131
883	991	130
884	992	128
885	993	127
886	994	126
887	995	125
888	996	124
889	997	123
890	998	122
891	999	121
892	1000	119
893	1001	118
894	1002	117
895	1003	116
896	1004	115
897	1005	114
898	1006	113
899	1007	111
900	1009	110
901	1010	109
902	1011	108
903	1012	107
904	1013	106
905	1014	105
906	1015	104
907	1016	103
908	1017	101
909	1019	100
910	1020	99
911	1021	98
912	1022	97
913	1023	96
914	1024	95
915	1025	94
916	1026	92
917	1027	91
918	1028	90
919	1030	89
920	1031	88
921	1032	87
922	1033	86
923	1034	85
924	1035	83
925	1036	82
926	1037	81
927	1038	80
928	1040	79
929	1041	78
930	1042	77
931	1043	76
932	1044	74
933	1045	73
934	1046	72
935	1047	71
936	1048	70
937	1049	69
938	1050	68
939	1051	67
940	1052	65
941	1053	64
942	1054	63
943	1055	62
944	1056	61
945	1057	60
946	1058	59
947	1059	58
948	1060	56
949	1061	55
950	1062	54
951	1063	53
952	1064	52
953	1065	51
954	1066	50
955	1067	49
956	1067	47
957	1068	46
958	1069	45
959	1070	44
960	1070	43
961	1071	42
962	1072	41
963	1073	40
964	1074	38
965	1075	37
966	1076	36
967	1077	35
968	1078	34
969	1078	33
970	1079	32
971	1080	31
972	1081	30
973	1082	28
974	1084	27
975	1084	26
976	1085	25
977	1086	24
978	1087	23
979	1088	22
980	1089	21
981	1090	19
982	1091	18
983	1092	17
984	1093	16
985	1094	15
986	1095	14
987	1096	13
988	1097	12
989	1098	11
990	1099	9
991	1100	8
992	1101	7
993	1101	6
994	1102	5
995	1103	4
996	1104	3
997	1105	2
998	1106	1
999	1107	0
